statNm,statId,chgerId,chgerType,addr,location,latitute,longtitute,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zscode,kind,kindDetail,parkingFree,limitYn,limitDetail,delYn
우리은행본점,ME181150,12,6,서울특별시 중구 소공로 51번지,,37.559534,126.981817,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-19 11:42,2022-08-19 10:43,2022-08-19 11:26,,50,단독,11,11140,I0,I008,Y,N,,N
우리은행본점,ME181150,13,6,서울특별시 중구 소공로 51번지,,37.559534,126.981817,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 15:25,2022-08-21 14:45,2022-08-21 15:25,,50,단독,11,11140,I0,I008,Y,N,,N
마곡레포츠센터,ME183001,1,6,"서울특별시 강서구 양천로 251, 입구 우측",,37.5728411,126.8323738,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:55,2022-08-21 16:13,2022-08-21 16:55,,50,단독,11,11500,A0,A004,Y,N,,N
창2동 제4공영주차장,ME183002,1,6,서울특별시 도봉구 창2동 582-22,,37.6413031,127.0364035,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2022-08-21 17:22,2022-08-21 13:22,2022-08-21 14:04,,50,단독,11,11320,B0,B001,N,N,,N
창3동 제1공영주차장,ME183003,1,6,"서울특별시 도봉구 창3동 504-21, 좌측 안쪽",,37.6332558,127.0412125,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:51,2022-08-21 16:19,2022-08-21 16:51,,50,단독,11,11320,B0,B001,N,N,,N
창천공영주차장,ME183004,1,6,"서울특별시 마포구 노고산동 33-1, B3 28",,37.55493,126.9389738,24시간 이용가능,ME,환경부,환경부,1661-9408,4,2022-07-25 17:26,2022-07-25 9:13,2022-07-25 9:54,,50,단독,11,11440,B0,B001,N,N,,N
번동햇살 공영주차장,ME183005,1,6,"서울특별시 강북구 오현로 21길 84, 옥상 주차장",,37.6249449,127.0334805,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 14:26,2022-08-21 13:14,2022-08-21 13:54,,50,단독,11,11305,B0,B001,N,N,,N
난향동 주민센터,ME183006,1,6,서울특별시 관악구 난곡로 67,,37.4616153,126.9189711,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2022-08-21 17:20,2022-08-21 16:38,2022-08-21 17:20,2022-08-21 17:20,50,단독,11,11620,A0,A002,Y,N,,N
시흥제4동공영주차장,ME183007,1,6,"서울특별시 금천구 독산로 36나길 21, B1 18",,37.4589664,126.9084827,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 17:02,2022-08-21 16:24,2022-08-21 17:02,,50,단독,11,11545,B0,B001,N,N,,N
쌍문3동 제2공영주차장,ME183008,1,6,"서울특별시 도봉구 쌍문3동 315-62, 지하 1층 안쪽",,37.6493531,127.0293841,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 15:13,2022-08-21 14:33,2022-08-21 15:13,,50,단독,11,11320,B0,B001,Y,N,,N
스탠포드호텔코리아,ME183009,1,6,"서울특별시 마포구 상암동 월드컵북로 58길 15, 지하4층 18",,37.5823581,126.886648,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 10:07,2022-08-21 9:24,2022-08-21 10:07,,50,단독,11,11440,E0,E003,Y,N,,N
