busiId,statId,chgerId,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt
PI,PI200365,6,3,2022-08-20 17:14:23,2022-08-18 04:34:04,2022-06-15 05:51:30,2022-08-20 17:10:21
PI,PI200378,2,2,2022-08-20 17:14:24,2021-11-04 19:50:34,2022-04-18 21:17:36,
PI,PI200399,3,1,2022-08-20 17:18:22,2022-06-08 20:40:53,2022-06-09 06:54:44,2022-06-08 20:40:53
PI,PI200855,10,2,2022-08-20 17:14:21,2022-06-24 19:54:47,2022-06-25 10:00:16,2022-06-24 19:54:47
PI,PI202123,2,2,2022-08-20 17:14:40,2022-08-20 16:07:26,2022-08-13 19:47:20,2022-08-20 16:07:26
PI,PI202366,1,3,2022-08-20 17:14:36,2022-08-19 02:28:01,2022-08-19 00:32:43,2022-08-19 02:28:01
PI,PI202864,1,2,2022-08-20 17:14:38,2022-06-16 12:27:31,2022-06-16 13:16:43,2022-06-16 12:27:31
PI,PI203049,2,2,2022-08-20 17:18:16,2022-08-20 14:38:55,2022-08-20 17:09:55,2022-08-20 14:38:55
PI,PI203049,3,2,2022-08-20 17:18:16,2022-08-20 11:34:35,2022-08-19 07:21:55,2022-08-20 11:34:35
PI,PI306060,3,2,2022-08-20 17:14:41,2022-08-13 20:44:51,2022-08-13 19:40:12,2022-08-13 20:44:51
PL,PL000017,1,2,2022-08-20 17:15:05,,,
PL,PL000017,3,3,2022-08-20 17:15:03,,,
PL,PL000018,5,3,2022-08-20 17:15:00,,,
PL,PL000110,3,2,2022-08-20 17:15:02,,,
PL,PL000165,2,1,2022-08-20 17:15:10,,,
PL,PL000172,9,3,2022-08-20 17:15:07,,,
PW,PW000312,7,1,2022-08-20 17:15:03,2022-08-17 15:44:03,2022-08-17 19:04:56,2022-08-19 21:25:37
PW,PW000426,2,2,2022-08-20 17:15:18,2022-08-20 15:16:31,2022-08-20 17:00:10,2022-08-20 15:16:31
PW,PW010098,3,2,2022-08-20 17:15:41,2022-08-20 10:47:22,2022-08-20 14:02:47,2022-08-20 10:47:22
PW,PW010587,1,3,2022-08-20 17:15:30,2022-08-20 04:46:16,2022-08-20 05:01:25,2022-08-20 16:00:49
PW,PW010949,1,3,2022-08-20 17:15:26,2022-08-19 21:41:41,2022-08-19 23:42:02,2022-08-20 17:12:49
PW,PW010992,1,2,2022-08-20 17:15:24,2022-08-20 15:14:00,2022-08-20 17:01:28,2022-08-20 15:14:00
PW,PW011044,5,2,2022-08-20 17:15:45,2022-08-20 16:15:16,2022-08-20 17:09:27,2022-08-20 16:15:16
PW,PW011044,7,3,2022-08-20 17:15:45,2022-08-20 15:00:57,2022-08-20 15:30:47,2022-08-20 17:01:27
PW,PW011194,2,2,2022-08-20 17:15:15,2022-08-19 19:03:15,2022-08-19 22:33:33,2022-08-19 19:03:15
PW,PW011777,2,2,2022-08-20 17:15:47,2022-08-03 09:40:09,2022-08-03 09:40:39,2022-04-16 19:37:53
PW,PW012034,1,1,2022-08-20 17:15:04,2022-08-19 19:13:26,2022-08-19 20:58:46,2022-08-19 19:13:26
PW,PW012034,2,1,2022-08-20 17:15:04,2022-07-16 17:13:15,2022-07-16 19:13:35,2022-07-16 17:13:15
PW,PW012050,3,5,2022-08-20 17:15:23,2022-08-20 15:15:13,2022-08-20 16:49:56,2022-08-20 15:15:13
PW,PW012169,1,2,2022-08-20 17:15:09,2022-08-20 08:45:24,2022-08-20 17:10:43,2022-08-20 08:45:24
PW,PW012206,3,3,2022-08-20 17:15:40,2022-08-19 19:31:17,2022-08-19 22:31:40,2022-08-20 17:03:56
PW,PW012245,1,3,2022-08-20 17:15:43,2022-08-20 09:12:31,2022-08-20 16:21:03,2022-08-20 17:11:00
PW,PW012511,1,1,2022-08-20 17:15:40,2022-08-14 22:08:41,2022-08-15 04:39:15,2022-08-14 22:08:41
PW,PW012541,4,3,2022-08-20 17:15:36,2022-08-19 21:31:03,2022-08-20 06:16:43,2022-08-20 17:13:01
PW,PW012558,3,2,2022-08-20 17:15:38,2022-08-20 14:59:56,2022-08-20 17:10:20,2022-08-20 14:59:56
PW,PW012593,4,3,2022-08-20 17:15:10,2022-08-20 15:10:40,2022-08-20 16:10:56,2022-08-20 17:11:35
PW,PW012679,1,3,2022-08-20 17:15:15,2022-08-20 11:48:28,2022-08-20 14:03:49,2022-08-20 17:08:34
PW,PW012795,5,3,2022-08-20 17:15:31,2022-08-20 11:53:01,2022-08-20 14:38:23,2022-08-20 17:14:54
PW,PW012882,5,2,2022-08-20 17:15:05,2022-08-13 22:07:41,2022-08-14 04:53:17,2022-08-13 22:07:41
PW,PW012884,5,3,2022-08-20 17:15:15,2022-08-19 21:44:44,2022-08-20 00:15:05,2022-08-20 17:14:04
PW,PW012932,2,2,2022-08-20 17:15:27,2022-08-18 21:19:13,2022-08-19 00:34:37,2022-08-18 21:19:13
PW,PW013099,1,1,2022-08-20 17:15:11,2022-08-19 21:10:04,2022-08-19 23:10:24,2022-08-19 21:10:04
PW,PW100551,7,3,2022-08-20 17:15:19,2022-08-13 19:57:51,2022-08-14 00:28:13,2022-08-19 21:35:40
RE,RE000045,1,2,2022-08-20 17:18:00,2021-08-25 11:24:51,2021-08-25 11:25:37,2021-08-25 11:24:51
RE,RE000064,1,3,2022-08-20 17:14:01,2022-08-16 22:31:24,2022-08-17 02:01:40,2022-08-20 17:12:41
SE,SE000023,1,2,2022-08-20 17:14:36,2022-08-20 16:31:11,2022-08-20 17:11:12,2022-08-20 16:31:11
SF,SF000438,1,3,2022-08-20 17:13:57,2022-08-19 12:02:02,2022-08-20 00:06:12,2022-08-20 17:12:12
SF,SF000706,1,2,2022-08-20 17:14:00,2022-08-20 11:09:50,2022-08-20 17:13:06,2022-08-20 11:09:50
SF,SF000720,3,4,2022-08-20 17:13:56,2022-07-01 17:59:38,2022-07-01 23:49:22,2022-07-26 13:22:21
SF,SF000817,49,2,2022-08-20 17:13:56,2022-08-20 12:27:58,2022-08-20 17:09:11,2022-08-20 12:27:58
SF,SF001157,1,3,2022-08-20 17:13:57,2022-08-19 23:44:10,2022-08-20 09:08:00,2022-08-20 17:09:39
SF,SF001372,4,3,2022-08-20 17:14:02,2022-08-19 18:28:19,2022-08-19 20:13:47,2022-08-20 17:09:43
SF,SF001438,51,3,2022-08-20 17:14:04,2022-08-11 17:31:55,2022-08-11 21:41:18,2022-08-20 17:08:24
ST,ST113801,4,3,2022-08-20 17:16:21,2022-08-13 09:35:25,2022-08-13 13:01:12,2022-08-19 12:51:47
ST,ST115003,1,2,2022-08-20 17:16:19,2022-07-09 16:12:39,2022-07-15 18:18:39,2022-08-16 19:08:21
ST,ST115003,2,2,2022-08-20 17:16:19,2022-06-26 20:05:48,2022-06-26 20:46:50,2022-08-20 12:19:38
ST,ST115406,3,3,2022-08-20 17:16:22,2022-08-20 11:16:19,2022-08-20 11:54:22,2022-08-20 11:16:19
ST,ST116804,1,2,2022-08-20 17:16:24,2022-08-20 14:43:40,2022-08-20 15:29:13,2022-08-20 16:10:51
ST,ST117102,2,3,2022-08-20 17:16:22,2022-02-21 19:30:42,2022-02-21 19:49:47,2022-08-14 21:25:56
TD,TDA00002,9,9,2022-08-20 17:18:10,2022-06-11 21:34:19,2022-06-11 21:48:22,2022-06-11 21:34:19
TD,TDA00005,1,3,2022-08-20 17:15:18,2022-08-19 23:22:56,2022-08-20 06:07:09,2022-08-20 17:09:03
TD,TDA00018,7,9,2022-08-20 17:18:10,2022-08-12 14:12:42,2022-08-12 19:48:47,2022-08-12 14:12:42
UN,UN000015,36,3,2022-08-20 17:17:59,2022-08-14 18:03:50,2022-08-15 10:20:59,2022-08-20 17:17:21
